time,x,y,z
67.06816,0.047874887,0.05483517,0.032217927
67.08495,0.04750554,0.055963244,0.033414174
67.10124,0.04664193,0.0580207,0.036041074
67.11821,0.04557603,0.0599177,0.038602754
67.13448,0.04488691,0.06104568,0.039795063
67.15088,0.043401435,0.06357345,0.042352226
67.16796,0.042759813,0.06495248,0.04352725
67.18439,0.041158408,0.06763845,0.045964714
67.200905,0.039074935,0.0692315,0.048385978
67.217834,0.038139917,0.07051268,0.049576685
67.2344,0.036216527,0.07245531,0.051896177
67.251686,0.033647355,0.07478236,0.05415284
67.267784,0.032249305,0.07571972,0.055173595
67.28449,0.029720193,0.07745574,0.057162814
67.30098,0.02721013,0.07905499,0.05897682
67.318214,0.025376888,0.0800257,0.059898797
67.33457,0.022483358,0.08176185,0.061582323
67.35088,0.021146193,0.08256984,0.06231672
67.36759,0.018515235,0.08437673,0.06367158
67.3844,0.015369006,0.08615094,0.0650978
67.40137,0.01219247,0.08762545,0.066419885
67.417694,0.010725632,0.088005655,0.06684442
67.434135,0.008026164,0.08864933,0.06761422
67.45127,0.006386053,0.089391395,0.06799561
67.46844,0.0035705084,0.09040578,0.06884673
67.484634,0.0008028915,0.09037838,0.06952013
67.50173,-0.002171412,0.09017398,0.06992411
67.51784,-0.003834739,0.08995723,0.070064016
67.53462,-0.0063774693,0.089720346,0.07040771
67.55141,-0.007955257,0.08958315,0.07047671
67.56786,-0.010524338,0.08857374,0.07044576
67.584656,-0.012641808,0.088125765,0.07041646
67.60161,-0.01454843,0.0874935,0.070217244
67.6181,-0.016701967,0.086448416,0.06986995
67.6346,-0.01891257,0.08531089,0.06924805
67.65174,-0.019010412,0.08531433,0.06924389
67.668274,-0.020757744,0.084300615,0.068726815
67.68467,-0.022423409,0.083171695,0.068016514
67.70157,-0.024077436,0.082121894,0.06706275
67.71783,-0.024869652,0.08076277,0.06592377
67.734764,-0.025987973,0.079418376,0.06457545
67.751335,-0.026618144,0.07919701,0.06397837
67.76811,-0.027268352,0.077633254,0.06265821
67.78517,-0.02771355,0.07595987,0.06136821
67.80123,-0.028024947,0.075196385,0.06057469
67.81796,-0.02843516,0.073512815,0.059276227
