time,x,y,z
45.517548,0.074485205,0.056144785,0.019510627
45.53412,0.07470827,0.056264393,0.018402858
45.550747,0.07452567,0.05650777,0.02490459
45.56739,0.074935056,0.055706486,0.023614127
45.584076,0.07526179,0.05518822,0.022401823
45.60116,0.075295664,0.05421757,0.021208564
45.61747,0.07494701,0.05277513,0.020058868
45.634037,0.07471954,0.05095008,0.018711856
45.650845,0.07455478,0.051191434,0.025169896
45.667297,0.073883474,0.04864221,0.020226823
45.684326,0.07314794,0.047011625,0.018997932
45.700752,0.07295904,0.045779046,0.021714453
45.717285,0.07225684,0.0439333,0.020452235
45.73395,0.07171819,0.042207364,0.019199593
45.75066,0.07097853,0.041366573,0.021799358
45.767254,0.07029747,0.03914014,0.020638697
45.783905,0.06995359,0.037922196,0.023214696
45.80063,0.06913139,0.035909202,0.022058189
45.817223,0.068247825,0.034158576,0.020879509
45.83389,0.06794264,0.033151176,0.02346826
45.850548,0.06693388,0.030594608,0.022301625
45.867386,0.066176005,0.028788509,0.021156168
45.88403,0.06561604,0.028062444,0.023901243
45.900864,0.064655185,0.0257166,0.022861354
45.917187,0.06352012,0.023602674,0.021953303
45.933945,0.06289306,0.022546414,0.024476467
45.95062,0.06171122,0.020756602,0.023423862
45.967346,0.06081581,0.019324496,0.02232865
45.984005,0.060565177,0.018543512,0.024829743
46.000645,0.059692577,0.017331062,0.023713302
46.01738,0.05909016,0.016509058,0.022491619
46.03463,0.058607988,0.016521357,0.025032926
46.050983,0.058308415,0.015882848,0.023967106
46.067467,0.057261348,0.01491923,0.022482466
46.083965,0.05652609,0.014668461,0.024875494
46.10065,0.05577146,0.013781332,0.023384754
46.117493,0.055179216,0.0131280245,0.021945119
46.133976,0.054980915,0.0127928,0.02443943
46.150738,0.05372246,0.011656299,0.022961218
46.167423,0.05267677,0.011128734,0.02153662
46.18411,0.052489482,0.010946727,0.023930801
46.200756,0.051573955,0.010500501,0.022438845
46.217484,0.05081764,0.010231221,0.021011826
46.234123,0.049860433,0.010500616,0.023399916
46.250713,0.04890744,0.010100978,0.021970203
46.26728,0.048666827,0.009890761,0.024324268
46.284218,0.047618076,0.009418723,0.022870056
46.30102,0.04633541,0.009604563,0.021496743
46.31748,0.04582579,0.009671192,0.023862187
46.334217,0.044627223,0.00933753,0.022218574
46.350746,0.043758504,0.00889463,0.020636858
46.367775,0.04302472,0.008822378,0.022882348
46.38452,0.04228702,0.008836151,0.021434091
46.400837,0.041169364,0.008831525,0.01988446
46.41773,0.040681615,0.009029464,0.02204395
46.434155,0.039466813,0.009003263,0.02057444
46.451122,0.038445868,0.009288319,0.018966151
46.468132,0.038281035,0.009585867,0.02135272
46.48441,0.037085306,0.009927605,0.019904705
46.50084,0.036033675,0.010260075,0.018176274
46.517864,0.035584584,0.010586134,0.020320365
46.534428,0.03446167,0.011321846,0.018821016
46.5519,0.033389933,0.011685996,0.017072301
46.56793,0.03289225,0.012087145,0.019642727
46.5848,0.032163646,0.012967745,0.017732386
46.601868,0.031373356,0.014009833,0.016201954
46.618523,0.030940779,0.014391306,0.018594544
46.634617,0.030406935,0.016426815,0.016954297
46.65123,0.029772867,0.018606909,0.015232362
46.667877,0.029318793,0.019255167,0.017357081
46.68458,0.028233642,0.020739263,0.015827367
46.70133,0.02752398,0.022956546,0.014207512
46.71814,0.027188353,0.02419729,0.016351053
46.734802,0.026281329,0.026467556,0.014803704
46.751312,0.025082553,0.028088294,0.013316764
46.76803,0.02510287,0.029044464,0.015358421
46.785187,0.02399371,0.03174098,0.013981665
46.8013,0.023649346,0.032898437,0.016236134
46.817783,0.022590013,0.035082463,0.014702855
46.83474,0.021734482,0.036357764,0.013151297
46.851135,0.020913411,0.037682775,0.015552165
46.867752,0.020388374,0.038928993,0.014105079
46.884827,0.019513119,0.040409673,0.012727088
46.901047,0.018999474,0.04132887,0.015302064
46.917892,0.018123517,0.044355344,0.01038419
