time,x,y,z
80.795494,-0.008002003,0.0014925918,0.006256748
80.81235,-0.007705041,0.0018167342,0.0061204927
80.8285,-0.007281954,0.0023146225,0.006052233
80.84546,-0.00710394,0.002895666,0.005932848
80.862305,-0.0066889953,0.0033502455,0.005823455
80.87876,-0.0063444446,0.0036400412,0.005794723
80.8953,-0.005766561,0.004674956,0.005716355
80.912025,-0.004997225,0.005156642,0.005753682
80.92865,-0.0049899686,0.005378773,0.0058093695
80.945274,-0.004444553,0.0061228126,0.005833111
80.96204,-0.003580944,0.006776492,0.0059682713
80.97867,-0.0031968441,0.006734655,0.005975861
80.99543,-0.0021208907,0.0069728484,0.0061336453
81.012,-0.0014086062,0.007171591,0.0061553735
81.02866,-0.0008091919,0.007217365,0.0062198867
81.04521,0.0003160872,0.007997706,0.0062834523
81.06202,0.0007934505,0.008211363,0.0063629653
81.07874,0.00172849,0.00890672,0.006391106
81.09541,0.0029354633,0.009293815,0.0064039426
81.11213,0.003605027,0.010044359,0.0064643784
81.129,0.004122291,0.01000018,0.00646233
81.145424,0.004932274,0.010457943,0.0063985973
81.16219,0.0058697606,0.010929964,0.00624034
81.178795,0.006245985,0.011045858,0.0061264504
81.19542,0.0069922907,0.011664227,0.0059017264
81.212326,0.007707437,0.012056344,0.0057073785
81.22883,0.008125863,0.012202939,0.0055763237
81.24559,0.008604825,0.012305607,0.0053467974
81.26207,0.008903861,0.01256707,0.0052107
81.27875,0.009389015,0.013325967,0.004917353
81.29545,0.009956072,0.013334184,0.0045558712
81.312,0.010181272,0.013348314,0.00438482
81.32866,0.01060597,0.013947381,0.0040205736
81.34555,0.011118377,0.014296727,0.0036244667
81.3618,0.011372484,0.014512362,0.003388897
81.378815,0.011786573,0.014636401,0.0028474978
81.395325,0.011928564,0.015148008,0.002117168
81.41201,0.012141437,0.01523793,0.0017948982
81.4286,0.012374736,0.01563615,0.0010663667
81.445656,0.012591845,0.015364935,0.00039289385
81.46213,0.012324361,0.015673114,0.00007877362
81.47885,0.012357734,0.015861856,-0.0005791554
81.49548,0.012406568,0.015682753,-0.0014272828
81.5121,0.012047666,0.015422457,-0.0018349438
81.52877,0.011417358,0.015469722,-0.00274058
81.54543,0.011137243,0.015098133,-0.0036939853
81.56228,0.01063022,0.014736777,-0.0042328746
81.578865,0.010040797,0.014448366,-0.0052594543
81.59544,0.009624076,0.013897375,-0.0063488483
81.61205,0.009483268,0.013698439,-0.0068450184
81.62878,0.0090269465,0.013660532,-0.0077975793
81.64527,0.008482084,0.01326691,-0.00826856
81.662155,0.008045965,0.012751402,-0.009089056
81.67843,0.007580531,0.012632934,-0.009829187
81.695335,0.007744699,0.012098286,-0.010160149
81.71219,0.007353392,0.011325779,-0.010773048
81.72876,0.006984758,0.010385508,-0.011308741
81.74551,0.0070482134,0.009859455,-0.011515311
81.762085,0.0064368937,0.009061121,-0.011975144
81.778534,0.0061222687,0.008351952,-0.012285875
81.7954,0.00551635,0.0075715985,-0.012590945
81.81207,0.005083941,0.007200544,-0.012738221
81.82894,0.0049689463,0.007074092,-0.012736528
81.84529,0.004971204,0.006719414,-0.012735643
81.86218,0.0048153675,0.0065457267,-0.012371345
81.87893,0.0046979357,0.0063799964,-0.011909984
81.895294,0.004556824,0.0063320175,-0.011212013
81.91215,0.0038328106,0.0061003645,-0.010512636
81.92889,0.003961944,0.005702118,-0.009685961
81.945274,0.003944326,0.005424836,-0.009194782
81.9619,0.003813199,0.0053025987,-0.008128603
81.97904,0.0037814968,0.004801627,-0.0069624027
81.9953,0.0036696193,0.004425302,-0.0063341293
82.01177,0.0037177003,0.0040309187,-0.0049973587
82.02883,0.0037939376,0.0039593875,-0.003635627
