time,x,y,z
91.36832,0.011016256,0.032380536,-0.019974342
91.384926,0.011343439,0.032525636,-0.020907085
91.40119,0.011912316,0.032653425,-0.018350752
91.41782,0.0123251565,0.03245831,-0.019557958
91.434654,0.012742734,0.032473933,-0.02071635
91.45132,0.012647921,0.032130633,-0.018055905
91.46836,0.013177359,0.03159061,-0.019256605
91.485176,0.0132759465,0.030714072,-0.020252177
91.50219,0.013427815,0.03042588,-0.017769817
91.518234,0.013457662,0.02895424,-0.018833835
91.53485,0.013770277,0.027455693,-0.020277662
91.55195,0.01374087,0.026450219,-0.017960649
91.56887,0.013720878,0.024885796,-0.019014027
91.586174,0.013962635,0.022945633,-0.020197565
91.60191,0.014093214,0.02201517,-0.017670942
91.618225,0.014151221,0.020239651,-0.019309862
91.63562,0.014522665,0.017797654,-0.020875817
91.65191,0.014494832,0.017086118,-0.018246502
91.66907,0.014599602,0.0145155145,-0.019843621
91.68598,0.014696271,0.011615225,-0.021130724
91.70202,0.014742303,0.010189874,-0.01860463
91.71876,0.01485332,0.0077757146,-0.020301122
91.73532,0.014817002,0.0060016513,-0.021667942
91.75249,0.0148738185,0.0036587408,-0.023138572
91.768776,0.015101402,0.001772911,-0.024321942
91.78539,0.015095984,0.0018170989,-0.018466223
91.80198,0.014743909,0.00034604326,-0.019920325
91.81861,0.014846801,-0.001707535,-0.0214852
91.83524,0.015057024,-0.0032829805,-0.022896098
91.85172,0.015369457,-0.0043063345,-0.024254318
91.868866,0.015960537,-0.005615195,-0.025798582
91.88537,0.015977416,-0.005566303,-0.019684643
91.90206,0.01608118,-0.0076652793,-0.02483754
91.91861,0.016380567,-0.008427595,-0.026278418
91.935104,0.016693396,-0.008610657,-0.023993514
91.951744,0.016999353,-0.009590891,-0.025453262
91.96862,0.017337205,-0.01001255,-0.026788108
91.98526,0.017769642,-0.010129063,-0.024425443
92.00191,0.018201077,-0.010295509,-0.025749149
92.01898,0.01852915,-0.010986909,-0.027081365
92.03507,0.018900879,-0.011087142,-0.024581961
92.05156,0.019228738,-0.011436961,-0.026124366
92.0688,0.019830663,-0.01138579,-0.027411373
92.084435,0.020159774,-0.011641523,-0.024955142
92.101166,0.020446,-0.011598838,-0.02649529
92.11834,0.020360963,-0.011701979,-0.027684037
92.13497,0.020345302,-0.0111639425,-0.02520385
92.15133,0.020027693,-0.011052212,-0.026336892
92.1682,0.020472767,-0.0108208,-0.024170619
92.185295,0.020118646,-0.010292439,-0.025157802
92.20175,0.020026904,-0.009336335,-0.026189348
92.218475,0.020218924,-0.008761401,-0.023890631
92.23476,0.020184191,-0.0075141876,-0.02498004
92.25145,0.01986781,-0.0057699387,-0.026274454
92.268105,0.019700548,-0.00478177,-0.023894086
92.284836,0.01990953,-0.0027204992,-0.024970839
92.3018,0.019346165,-0.0002664777,-0.025957394
92.31845,0.019167278,0.00093066937,-0.023496259
92.33483,0.01865235,0.003507984,-0.024473667
92.351715,0.018115377,0.00597209,-0.025557678
92.3682,0.018408798,0.0073957765,-0.023145929
92.3851,0.017722823,0.010522588,-0.024188839
92.40189,0.017096832,0.0133195305,-0.025117096
92.41832,0.01656254,0.014559152,-0.022768406
92.434906,0.016422441,0.017943751,-0.0238018
92.45171,0.015830934,0.0213099,-0.024773668
92.46844,0.01536815,0.022600038,-0.022430824
92.48485,0.014685696,0.025650404,-0.023342824
92.501915,0.013823831,0.028883968,-0.024396798
92.51878,0.013007916,0.030826285,-0.021883577
92.53508,0.012337435,0.033960648,-0.02284317
92.5517,0.011713543,0.03661445,-0.023959324
92.56822,0.011673833,0.038446687,-0.021645766
92.585106,0.01046053,0.04202273,-0.02266594
92.60201,0.009446366,0.045016073,-0.02353129
92.61827,0.009047531,0.046148278,-0.021170337
92.63489,0.007844802,0.0493573,-0.022237338
92.65143,0.007841972,0.05123858,-0.01993327
92.66805,0.006742059,0.054567512,-0.020976342
92.6847,0.005925611,0.05776761,-0.021907283
92.701324,0.005412869,0.059394836,-0.01973377
92.71848,0.0048335795,0.06284201,-0.02070202
92.734924,0.0040024784,0.06583536,-0.021595227
92.75178,0.003446868,0.066983014,-0.019493928
92.76914,0.0029417682,0.068948,-0.02052266
92.785,0.0021304435,0.0706615,-0.021381648
92.80194,0.0013987573,0.07134697,-0.019485487
92.818275,0.00073630305,0.07233153,-0.02046955
92.835144,0.00067661784,0.07282967,-0.021643545
92.85191,0.00058994204,0.07282063,-0.019414358
92.8683,-0.00006292604,0.0731627,-0.020385481
