time,x,y,z
45.038536,0.0015458582,0.011877548,-0.018615747
45.055603,0.0015096347,0.00992374,-0.019600451
45.072174,0.0012163481,0.0089730015,-0.016993145
45.08891,0.0012628813,0.0071082744,-0.017824737
45.10608,0.0017906936,0.005094906,-0.018628836
45.123226,0.0018927098,0.0042629857,-0.016022783
45.139473,0.0021948374,0.0027253656,-0.016699012
45.156036,0.002587139,0.001031747,-0.017716719
45.173733,0.002939157,0.00016074468,-0.015394268
45.189793,0.0031702283,-0.0015293467,-0.016010847
45.205994,0.0037735319,-0.0026948112,-0.017199585
45.223827,0.0040119886,-0.003157767,-0.015049551
45.24009,0.0046542557,-0.004638416,-0.015669651
45.258064,0.005570775,-0.0057142978,-0.01685797
45.272724,0.006010099,-0.0061671073,-0.014172928
45.290756,0.006421519,-0.006678521,-0.01594323
45.308327,0.0073206727,-0.0073526367,-0.016600836
45.324272,0.007841761,-0.007691254,-0.014088362
45.340965,0.008844117,-0.00842271,-0.015473815
45.35704,0.009623864,-0.008566492,-0.016608858
45.37534,0.009850825,-0.008879253,-0.014638356
45.391914,0.010387466,-0.009426715,-0.015243312
45.40858,0.011585968,-0.009625949,-0.016421426
45.426033,0.01204996,-0.009591862,-0.0142516745
45.442673,0.013100132,-0.009341469,-0.015177436
45.459114,0.01390994,-0.009203682,-0.016290883
45.475155,0.014374009,-0.009406914,-0.01435017
45.492332,0.015355491,-0.008829568,-0.015585886
45.508846,0.016026122,-0.008026189,-0.016536035
45.52529,0.016405666,-0.007691265,-0.014496949
45.541256,0.0175243,-0.0074148304,-0.015702154
45.56014,0.018145604,-0.006281886,-0.016926628
45.57545,0.018326646,-0.0054523246,-0.014069104
45.592377,0.018768141,-0.003896491,-0.015395089
45.60949,0.019142278,-0.0028702044,-0.016283026
45.625195,0.019680334,-0.001667211,-0.013881097
45.64253,0.019984368,0.0010793299,-0.015130475
45.659042,0.020439068,0.0037419908,-0.015830535
45.675926,0.02034925,0.0045528947,-0.013612709
45.693005,0.020790003,0.007387558,-0.014304245
45.709568,0.02080529,0.010832726,-0.014905012
45.7267,0.021158405,0.012431609,-0.012610574
45.743904,0.021613171,0.015386682,-0.01314202
45.759632,0.021585358,0.019148832,-0.013565641
45.77583,0.021439824,0.021434285,-0.011498664
45.794003,0.020937366,0.02544603,-0.012189333
45.810608,0.020466253,0.029018383,-0.012220999
45.82729,0.020072933,0.030782659,-0.009848581
45.843594,0.019290213,0.034548763,-0.010288427
45.860954,0.018542452,0.03851555,-0.010829158
45.87867,0.018370098,0.040185895,-0.008197165
45.89375,0.018145347,0.041989073,-0.005463958
45.91121,0.016937984,0.04756823,-0.009064284
45.92726,0.016256679,0.049729932,-0.006364089
45.943584,0.015174383,0.05339095,-0.0068326145
45.961586,0.014024346,0.05662225,-0.007227543
45.97864,0.013164671,0.05856881,-0.0043344246
45.99505,0.011683367,0.062486578,-0.0044430327
46.011,0.00960428,0.06803595,-0.0076641873
46.027733,0.009437058,0.068059444,-0.0027509402
